,Country,Years,Gold,Silver,Bronze,Total
1198,North Korea,2016,2,3,2,7
1199,Belgium,2016,2,2,2,6
1200,Thailand,2016,2,2,2,6
1201,Slovakia,2016,2,2,0,4
1202,Georgia,2016,2,1,4,7
1203,Azerbaijan,2016,1,7,10,18
1204,Belarus,2016,1,4,4,9
1205,Turkey,2016,1,3,4,8
1206,Armenia,2016,1,3,0,4
1207,Czech Republic,2016,1,2,7,10
1208,Ethiopia,2016,1,2,5,8
1209,Slovenia,2016,1,2,1,4
1210,Indonesia,2016,1,2,0,3
1211,Romania,2016,1,1,2,4
1212,Bahrain,2016,1,1,0,2
1213,Vietnam,2016,1,1,0,2
1214,Chinese Taipei,2016,1,0,2,3
1215,Bahamas,2016,1,0,1,2
1216,Independent Olympic Athletes,2016,1,0,1,2
1217,Ivory Coast,2016,1,0,1,2
1218,Fiji,2016,1,0,0,1
1219,Jordan,2016,1,0,0,1
1220,Kosovo,2016,1,0,0,1
1221,Puerto Rico,2016,1,0,0,1
1222,Singapore,2016,1,0,0,1
1223,Tajikistan,2016,1,0,0,1
1224,Malaysia,2016,0,4,1,5
1225,Mexico,2016,0,3,2,5
1226,Venezuela,2016,0,2,1,3
1227,Algeria,2016,0,2,0,2
1228,Ireland,2016,0,2,0,2
1229,Lithuania,2016,0,1,3,4
1230,Bulgaria,2016,0,1,2,3
1231,India,2016,0,1,1,2
1232,Mongolia,2016,0,1,1,2
1233,Burundi,2016,0,1,0,1
1234,Grenada,2016,0,1,0,1
1235,Niger,2016,0,1,0,1
1236,Philippines,2016,0,1,0,1
1237,Qatar,2016,0,1,0,1
1238,Norway,2016,0,0,4,4
1239,Egypt,2016,0,0,3,3
1240,Tunisia,2016,0,0,3,3
1241,Israel,2016,0,0,2,2
1242,Austria,2016,0,0,1,1
1243,Dominican Republic,2016,0,0,1,1
1244,Estonia,2016,0,0,1,1
1245,Finland,2016,0,0,1,1
1246,Morocco,2016,0,0,1,1
1247,Nigeria,2016,0,0,1,1
1248,Portugal,2016,0,0,1,1
1249,Trinidad and Tobago,2016,0,0,1,1
1250,United Arab Emirates,2016,0,0,1,1
1251,United States,2020,39,41,33,113
1252,China,2020,38,32,19,89
1253,Japan,2020,27,14,17,58
1254,Great Britain,2020,22,20,22,64
1255,ROC,2020,20,28,23,71
1256,Australia,2020,17,7,22,46
1257,Netherlands,2020,10,12,14,36
1258,France,2020,10,12,11,33
1259,Germany,2020,10,11,16,37
1260,Italy,2020,10,10,20,40
1261,Canada,2020,7,7,10,24
1262,Brazil,2020,7,6,8,21
1263,New Zealand,2020,7,6,7,20
1264,Cuba,2020,7,3,5,15
1265,Hungary,2020,6,7,7,20
1266,South Korea,2020,6,4,10,20
1267,Poland,2020,4,5,5,14
1268,Czech Republic,2020,4,4,3,11
1269,Kenya,2020,4,4,2,10
1270,Norway,2020,4,2,2,8
1271,Jamaica,2020,4,1,4,9
1272,Spain,2020,3,8,6,17
1273,Sweden,2020,3,6,0,9
1274,Switzerland,2020,3,4,6,13
1275,Denmark,2020,3,4,4,11
1276,Croatia,2020,3,3,2,8
1277,Iran,2020,3,2,2,7
1278,Serbia,2020,3,1,5,9
1279,Belgium,2020,3,1,3,7
1280,Bulgaria,2020,3,1,2,6
1281,Slovenia,2020,3,1,1,5
1282,Uzbekistan,2020,3,0,2,5
1283,Georgia,2020,2,5,1,8
1284,Chinese Taipei,2020,2,4,6,12
1285,Turkey,2020,2,2,9,13
1286,Greece,2020,2,1,1,4
1287,Uganda,2020,2,1,1,4
1288,Ecuador,2020,2,1,0,3
1289,Ireland,2020,2,0,2,4
1290,Israel,2020,2,0,2,4
1291,Qatar,2020,2,0,1,3
1292,Bahamas,2020,2,0,0,2
1293,Kosovo,2020,2,0,0,2
1294,Ukraine,2020,1,6,12,19
1295,Belarus,2020,1,3,3,7
1296,Romania,2020,1,3,0,4
1297,Venezuela,2020,1,3,0,4
1298,India,2020,1,2,4,7
1299,Hong Kong,2020,1,2,3,6
1300,Philippines,2020,1,2,1,4
1301,Slovakia,2020,1,2,1,4
1302,South Africa,2020,1,2,0,3
1303,Austria,2020,1,1,5,7
1304,Egypt,2020,1,1,4,6
1305,Indonesia,2020,1,1,3,5
1306,Ethiopia,2020,1,1,2,4
1307,Portugal,2020,1,1,2,4
1308,Tunisia,2020,1,1,0,2
1309,Estonia,2020,1,0,1,2
1310,Fiji,2020,1,0,1,2
1311,Latvia,2020,1,0,1,2
1312,Thailand,2020,1,0,1,2
1313,Bermuda,2020,1,0,0,1
1314,Morocco,2020,1,0,0,1
1315,Puerto Rico,2020,1,0,0,1
1316,Colombia,2020,0,4,1,5
1317,Azerbaijan,2020,0,3,4,7
1318,Dominican Republic,2020,0,3,2,5
1319,Armenia,2020,0,2,2,4
1320,Kyrgyzstan,2020,0,2,1,3
1321,Mongolia,2020,0,1,3,4
1322,Argentina,2020,0,1,2,3
1323,San Marino,2020,0,1,2,3
1324,Jordan,2020,0,1,1,2
1325,Malaysia,2020,0,1,1,2
1326,Nigeria,2020,0,1,1,2
1327,Bahrain,2020,0,1,0,1
1328,Lithuania,2020,0,1,0,1
1329,Namibia,2020,0,1,0,1
1330,North Macedonia,2020,0,1,0,1
1331,Saudi Arabia,2020,0,1,0,1
1332,Turkmenistan,2020,0,1,0,1
1333,Kazakhstan,2020,0,0,8,8
1334,Mexico,2020,0,0,4,4
1335,Finland,2020,0,0,2,2
1336,Botswana,2020,0,0,1,1
1337,Burkina Faso,2020,0,0,1,1
1338,Ghana,2020,0,0,1,1
1339,Grenada,2020,0,0,1,1
1340,Ivory Coast,2020,0,0,1,1
1341,Kuwait,2020,0,0,1,1
1342,Moldova,2020,0,0,1,1
1343,Syria,2020,0,0,1,1
1344,United States,2024,40,44,42,126
1345,China,2024,40,27,24,91
1346,Japan,2024,20,12,13,45
1347,Australia,2024,18,19,16,53
1348,France,2024,16,26,22,64
1349,Netherlands,2024,15,7,12,34
1350,Great Britain,2024,14,22,29,65
1351,South Korea,2024,13,9,10,32
1352,Italy,2024,12,13,15,40
1353,Germany,2024,12,13,8,33
1354,New Zealand,2024,10,7,3,20
1355,Canada,2024,9,7,11,27
1356,Uzbekistan,2024,8,2,3,13
1357,Hungary,2024,6,7,6,19
1358,Spain,2024,5,4,9,18
1359,Sweden,2024,4,4,3,11
1360,Kenya,2024,4,2,5,11
1361,Norway,2024,4,1,3,8
1362,Ireland,2024,4,0,3,7
1363,Brazil,2024,3,7,10,20
1364,Iran,2024,3,6,3,12
1365,Ukraine,2024,3,5,4,12
1366,Romania,2024,3,4,2,9
1367,Georgia,2024,3,3,1,7
1368,Belgium,2024,3,1,6,10
1369,Bulgaria,2024,3,1,3,7
1370,Serbia,2024,3,1,1,5
1371,Czech Republic,2024,3,0,2,5
1372,Denmark,2024,2,2,5,9
1373,Azerbaijan,2024,2,2,3,7
1374,Croatia,2024,2,2,3,7
1375,Cuba,2024,2,1,6,9
1376,Bahrain,2024,2,1,1,4
1377,Slovenia,2024,2,1,0,3
1378,Chinese Taipei,2024,2,0,5,7
1379,Austria,2024,2,0,3,5
1380,Hong Kong,2024,2,0,2,4
1381,Philippines,2024,2,0,2,4
1382,Algeria,2024,2,0,1,3
1383,Indonesia,2024,2,0,1,3
1384,Israel,2024,1,5,1,7
1385,Poland,2024,1,4,5,10
1386,Kazakhstan,2024,1,3,3,7
1387,Jamaica,2024,1,3,2,6
1388,South Africa,2024,1,3,2,6
1389,Thailand,2024,1,3,2,6
1390,Individual Neutral Athletes,2024,1,3,1,5
1391,Ethiopia,2024,1,3,0,4
1392,Switzerland,2024,1,2,5,8
1393,Ecuador,2024,1,2,2,5
1394,Portugal,2024,1,2,1,4
1395,Greece,2024,1,1,6,8
1396,Argentina,2024,1,1,1,3
1397,Egypt,2024,1,1,1,3
1398,Tunisia,2024,1,1,1,3
1399,Botswana,2024,1,1,0,2
1400,Chile,2024,1,1,0,2
1401,Saint Lucia,2024,1,1,0,2
1402,Uganda,2024,1,1,0,2
1403,Dominican Republic,2024,1,0,2,3
1404,Guatemala,2024,1,0,1,2
1405,Morocco,2024,1,0,1,2
1406,Dominica,2024,1,0,0,1
1407,Pakistan,2024,1,0,0,1
1408,Turkey,2024,0,3,5,8
1409,Mexico,2024,0,3,2,5
1410,Armenia,2024,0,3,1,4
1411,Colombia,2024,0,3,1,4
1412,Kyrgyzstan,2024,0,2,4,6
1413,North Korea,2024,0,2,4,6
1414,Lithuania,2024,0,2,2,4
1415,India,2024,0,1,5,6
1416,Moldova,2024,0,1,3,4
1417,Kosovo,2024,0,1,1,2
1418,Cyprus,2024,0,1,0,1
1419,Fiji,2024,0,1,0,1
1420,Jordan,2024,0,1,0,1
1421,Mongolia,2024,0,1,0,1
1422,Panama,2024,0,1,0,1
1423,Tajikistan,2024,0,0,3,3
1424,Albania,2024,0,0,2,2
1425,Grenada,2024,0,0,2,2
1426,Malaysia,2024,0,0,2,2
1427,Puerto Rico,2024,0,0,2,2
1428,Cape Verde,2024,0,0,1,1
1429,Ivory Coast,2024,0,0,1,1
1430,Peru,2024,0,0,1,1
1431,Qatar,2024,0,0,1,1
1432,Refugee Olympic Team,2024,0,0,1,1
1433,Singapore,2024,0,0,1,1
1434,Slovakia,2024,0,0,1,1
1435,Zambia,2024,0,0,1,1
